"","Location","Latitude","Longitude","Month","Year"
"1","Looe Key Reef","24.61666667","-81.4","NA","1983"
"2","Looe Key","24.616","-81.4","7","1987"
"3","Looe Key, Florida","25.15","-80.28","7","1987"
"4","Looe Key Reef","24.61666667","-81.4","NA","1987"
"5","Looe Key Reef","24.5566","-81.4008","NA","1990"
"6","Looe Key","24.55","-81.41","8","1998"
"7","Looe Key Reef","24.58","-81.4","9","1998"
"8","Looe Key Reef","24.61666667","-81.4","NA","1998"
"9","Looe Key Reef","24.61666667","-81.4","NA","1998"
"10","Lower Keys: Looe Cay Patch","24.5646","-81.39308","6","2003"
"11","Lower Keys: Looe Cay SPA","24.54607","-81.40515","6","2003"
"12","Lower Florida Keys (Looe Key Reef)","24.623","-81.4","9","2005"
